product_id,ten_san_pham,loai,thanh_phan,quy_cach,cong_dung,trieu_chung,nguyen_nhan,doi_tuong_cay_trong,thoi_diem_xu_ly,huong_dan_su_dung,an_toan_su_dung,gia,url_img
sp1,KẼM BORON 50.000ppm,phan_bon,Kẽm Zn: 50.000ppm; Bo B: 50.000ppm; độ ẩm: 1%,Gói 500g,"Tăng khả năng thụ phấn, đậu trái, hạn chế rụng hoa và trái non","Hoa khô, rụng hàng loạt; trái non dễ rụng; lá non biến dạng",Thiếu vi lượng Kẽm và Bo trong giai đoạn phân hóa mầm hoa,"Cây ăn trái, cà phê, hồ tiêu, lúa, rau màu","Trước ra hoa, sau đậu trái, giai đoạn nuôi trái non","Pha 500g cho phuy 200-250 lít nước, phun đều hai mặt lá",Không pha chung với thuốc có tính kiềm mạnh; bảo quản nơi khô ráo,Khoảng 75.000 - 90.000 VNĐ,IMG/sp1
sp2,NPK 20-20-15 TE,phan_bon,"Đạm N: 20%; Lân P2O5: 20%; Kali K2O: 15%; TE: Zn, B, Cu, Mn",Bao 25kg,"Cung cấp dinh dưỡng cân đối, giúp cây phát triển thân lá, rễ và nuôi trái","Cây sinh trưởng chậm, lá nhạt màu, đậu trái kém",Đất thiếu đa lượng NPK hoặc bón phân mất cân đối,"Lúa, bắp, rau màu, cây ăn trái, cây công nghiệp","Giai đoạn sinh trưởng mạnh, sau thu hoạch, trước ra hoa",Bón gốc 200-500kg/ha tùy cây trồng và độ phì đất,Không bón sát gốc; tưới nước sau khi bón để tránh cháy rễ,Khoảng 520.000 - 650.000 VNĐ/bao,IMG/sp2
sp3,DAP 18-46-0,phan_bon,Đạm N: 18%; Lân hữu hiệu P2O5: 46%,Bao 50kg,"Kích thích ra rễ, phục hồi cây con, tăng sức bật chồi","Rễ yếu, cây còi, chậm bén rễ sau trồng",Thiếu lân trong giai đoạn đầu hoặc đất chua làm lân khó hấp thu,"Lúa, rau màu, cây ăn trái, cà phê, hồ tiêu","Bón lót, bón thúc sớm sau trồng","Bón 100-300kg/ha; cây ăn trái bón 0,2-1kg/gốc tùy tuổi cây","Tránh trộn trực tiếp với vôi; bảo quản khô, tránh vón cục",Khoảng 1.100.000 - 1.350.000 VNĐ/bao,IMG/sp3
sp4,KALI CLORUA KCl 60%,phan_bon,Kali hữu hiệu K2O: 60%; dạng KCl,Bao 50kg,"Tăng độ ngọt, chắc hạt, cứng cây, tăng khả năng chống chịu","Trái nhạt, mềm; lá mép vàng cháy; cây yếu dễ đổ ngã","Thiếu Kali hoặc cây đang nuôi trái, nuôi củ cần nhiều Kali","Lúa, mía, chuối, cây ăn trái, khoai, sắn","Giai đoạn làm đòng, nuôi trái, nuôi củ","Bón 100-250kg/ha; cây ăn trái 0,3-1,5kg/gốc tùy tuổi cây",Không bón quá liều trên cây mẫn cảm Clo; tránh bón lúc nắng gắt,Khoảng 750.000 - 950.000 VNĐ/bao,IMG/sp4
sp5,CANXI BO MAX,phan_bon,CaO: 15%; Bo B: 2%; MgO: 2%; phụ gia bám dính,Chai 1 lít,"Chống nứt trái, thối đít trái, tăng cứng vỏ và cuống trái",Trái cà chua thối đáy; sầu riêng nứt gai; ớt rụng hoa,"Thiếu Canxi và Bo, rối loạn vận chuyển dinh dưỡng khi cây thiếu nước","Cà chua, ớt, dưa leo, sầu riêng, xoài, cam quýt","Trước ra hoa, sau đậu trái, giai đoạn trái lớn nhanh",Pha 25-40ml/bình 16 lít; phun 7-10 ngày/lần,Không pha với phân chứa phosphate đậm đặc; lắc đều trước khi dùng,Khoảng 95.000 - 140.000 VNĐ,IMG/sp5
sp6,HUMIC ACID 70%,phan_bon,Acid humic: 70%; K2O: 10%; Fulvic acid: 3%,Gói 1kg,"Cải tạo đất, kích rễ, tăng hấp thu phân bón, giảm ngộ độc hữu cơ","Rễ ít, đất chai cứng, cây vàng lá sau mưa hoặc sau bón phân mạnh","Đất nghèo hữu cơ, pH bất lợi, rễ bị nghẹt do úng hoặc phèn","Rau màu, lúa, cây ăn trái, hoa kiểng, cà phê","Sau trồng, sau thu hoạch, sau ngập úng, giai đoạn phục hồi rễ",Tưới gốc 1kg/400-600 lít nước hoặc rải 2-5kg/ha,Có thể phối với NPK nhưng nên thử trước; tránh để nơi ẩm,Khoảng 120.000 - 180.000 VNĐ,IMG/sp6
sp7,SEAWEED AMINO 30,phan_bon,Dịch chiết rong biển: 20%; Amino acid: 10%; K2O: 5%; vi lượng,Chai 500ml,"Giải stress, phục hồi cây sau hạn, mặn, ngộ độc thuốc; kích chồi","Cây đứng lá, chậm phát triển, lá xoăn nhẹ sau thời tiết xấu","Cây bị sốc sinh lý do nắng nóng, lạnh, hạn, mặn hoặc phun thuốc quá liều","Rau màu, lúa, hoa, cây ăn trái, cây công nghiệp","Sau thời tiết bất lợi, sau phun thuốc, giai đoạn cây con","Pha 15-25ml/bình 16 lít, phun sáng sớm hoặc chiều mát",Không pha với thuốc có tính kiềm cao; đeo găng khi pha,Khoảng 85.000 - 120.000 VNĐ,IMG/sp7
sp8,NPK 16-16-8 + TE,phan_bon,"N: 16%; P2O5: 16%; K2O: 8%; S: 5%; TE: Zn, B",Bao 50kg,"Bón thúc đa dụng, giúp cây phát triển thân lá và rễ khỏe","Lá xanh nhạt, cây yếu, đẻ nhánh kém, chậm lớn",Thiếu dinh dưỡng đa lượng trong giai đoạn sinh trưởng,"Lúa, bắp, rau màu, cây ăn trái, cà phê","Bón thúc lần 1-2, sau thu hoạch, sau cắt tỉa","Bón 200-500kg/ha tùy cây; cây ăn trái 0,5-2kg/gốc",Không bón sát thân; không để phân dính lá non,Khoảng 650.000 - 850.000 VNĐ/bao,IMG/sp8
sp9,MAGIE KẼM LƯU HUỲNH,phan_bon,MgO: 16%; Zn: 5%; S: 12%; phụ gia trung vi lượng,Gói 1kg,"Giúp lá xanh dày, tăng quang hợp, hạn chế vàng lá gân xanh","Lá già vàng giữa gân, gân còn xanh; cây kém quang hợp","Thiếu Magie, Kẽm, Lưu huỳnh hoặc đất pH thấp làm rễ hấp thu kém","Cà phê, hồ tiêu, sầu riêng, cam quýt, rau màu","Giai đoạn phát triển lá, trước ra hoa, sau thu hoạch",Pha 40-60g/bình 16 lít hoặc tưới 1kg/400 lít nước,Không pha chung với Canxi đậm đặc; thử nhỏ trước khi phối thuốc,Khoảng 60.000 - 90.000 VNĐ,IMG/sp9
sp10,PHÂN BÓN LÁ 10-55-10,phan_bon,N: 10%; P2O5: 55%; K2O: 10%; TE,Gói 500g,"Kích thích ra rễ, phân hóa mầm hoa, giúp cây chuyển sang sinh sản",Cây tốt lá nhưng chậm ra hoa; rễ yếu sau trồng,Thiếu lân hoặc bón dư đạm làm cây thiên về sinh trưởng thân lá,"Xoài, nhãn, sầu riêng, hoa kiểng, rau màu","Trước xử lý ra hoa, sau trồng, giai đoạn cây con",Pha 20-30g/bình 16 lít; phun 2-3 lần cách nhau 7 ngày,Không lạm dụng khi cây đang suy kiệt; tránh phun lúc nắng mạnh,Khoảng 55.000 - 80.000 VNĐ,IMG/sp10
